N,area_wide,area_tight,err_wide_%,err_tight_%
48600,0.9455555555555555,0.9435699588477368,0.10993655505622077,0.10028690487244563
49100,0.944908350305499,0.9436099796334013,0.0414142179597151,0.09604973626799602
49600,0.9473588709677419,0.9438256048387098,0.30086112891339956,0.07322059048563002
50100,0.9476047904191618,0.9443363273453096,0.3268976537211246,0.019148254457840314
50600,0.9462450592885376,0.944219367588933,0.18293721012906,0.03153127491767655
51100,0.9464970645792563,0.9442759295499024,0.2096180682945667,0.025542822636048002
51600,0.949360465116279,0.9442344961240312,0.5127783050557331,0.02992955339009927
52100,0.9483685220729368,0.9441458733205376,0.4077571304121354,0.039312421676317655
52600,0.9473954372623574,0.944415399239544,0.30473255604690885,0.010776581034122278
53100,0.9472881355932203,0.94460922787194,0.29337207783232766,0.009744870061703832
53600,0.9466791044776119,0.9442863805970151,0.22889139662286792,0.02443632639979662
54100,0.9477449168207024,0.9441081330868764,0.34173342416898095,0.043308138665338856
54600,0.9464835164835166,0.9443452380952383,0.20818367451730346,0.018204835951355688
55100,0.9462250453720509,0.944260435571688,0.18081825276274152,0.0271832351606296
55600,0.9469424460431655,0.9443794964028779,0.256772473800171,0.014577765089011822
56100,0.9449197860962567,0.9442513368983959,0.04262497314007695,0.0281465499025911
56600,0.9442049469964664,0.9440371024734984,0.03305804358656616,0.05082844792369762
57100,0.9452364273204904,0.9443301225919442,0.07614910895896691,0.01980517774712133
57600,0.9456249999999999,0.9442708333333335,0.1172889299501009,0.02608238048051465
58100,0.9449225473321858,0.9443416523235802,0.042917316780865,0.01858447665155414
58600,0.9462286689419794,0.9442832764505121,0.1812018953245342,0.024764975422735928
59100,0.9449238578680204,0.9436548223350255,0.04305606871191345,0.09130205117622198
59600,0.9463590604026846,0.9438548657718123,0.19500698671426644,0.07012261264686259
60100,0.9467221297836939,0.9439683860232947,0.23344666641829667,0.05810374701084314
60600,0.9452970297029704,0.9436468646864687,0.08256533762951732,0.09214456083889039
61100,0.9453682487725041,0.9435556464811786,0.09010559953231763,0.10180221521002343
61600,0.9460227272727273,0.9435673701298702,0.15939798616050743,0.10056098330163259
62100,0.9453623188405798,0.9435587761674721,0.08947777274283052,0.10147086218223529
62600,0.9445686900958467,0.9433706070287542,0.005452965509987362,0.12139311892113125
63100,0.9440729001584787,0.9436608557844692,0.04703839671926044,0.09066326455234756
63600,0.942877358490566,0.9436517295597485,0.17361541254922414,0.09162949627972704
64100,0.9429641185647426,0.9437207488299534,0.16442975923641473,0.08432213636767473
64600,0.9429102167182662,0.9439434984520126,0.17013657402825205,0.06073869867224147
65100,0.9434101382488479,0.9441244239631339,0.11720778267909589,0.041583355199167504
65600,0.9421189024390244,0.9442454268292685,0.2539163390823173,0.02877227373437037
66100,0.9409833585476551,0.9443078668683815,0.37414113841065294,0.022161484640725513
66600,0.9409459459459459,0.9442379879879881,0.37810216762936094,0.029559855092492614
67100,0.9405067064083458,0.9444858420268258,0.42460630160992785,0.0033185073925323643
67600,0.9406065088757396,0.944415680473373,0.41403979536909263,0.01074680562789346
68100,0.9405726872246696,0.9445117474302498,0.4176206355671259,0.000575793568931163
68600,0.9398833819241982,0.9444970845481052,0.4906002817569381,0.0021282144632756915
69100,0.9399855282199711,0.9442112879884228,0.47978562456511564,0.03238669614566587
69600,0.9399568965517242,0.9442169540229887,0.48281697949166275,0.03178680927749102
70100,0.9390299572039943,0.9441690442225394,0.5809559399645938,0.03685922099899878
70600,0.9382436260623229,0.9440864022662891,0.6642081193225107,0.04560887187714512
71100,0.9381012658227849,0.9441983122362871,0.6792803955778648,0.03376049350259812
71600,0.9377094972067039,0.9444483240223466,0.7207585837918614,0.007290696045038042
72100,0.9376976421636616,0.9444174757281556,0.7220137269718198,0.010556734466731797
72600,0.9381818181818182,0.9443526170798899,0.6707519791301895,0.01742359186582713
73100,0.9374281805745555,0.9443570451436389,0.7505427567373837,0.016954774165618747
73600,0.9371739130434782,0.9443614130434784,0.7774631277876074,0.01649232627110783
74100,0.9359514170040486,0.9445681511470987,0.9068939160972351,0.00539590474327932
74600,0.9381233243967828,0.9445710455764077,0.6769449617363995,0.005702350126404025
75100,0.9400266311584554,0.9445073235685755,0.47543388389824587,0.0010441663778500167
75600,0.9411904761904761,0.9447255291005293,0.35221272398759934,0.022058169419888175
76100,0.9423390275952694,0.9445630749014458,0.23061076460138213,0.004858461303528558
76600,0.9428851174934726,0.9445496083550916,0.1727939343355454,0.0034327015020992236
77100,0.9422568093385213,0.9444552529182881,0.2393155566343454,0.006557104740930437
77600,0.9411726804123711,0.9443782216494847,0.35409683773065054,0.01471272858276369
78100,0.9411395646606915,0.9445262483994881,0.357602941396525,0.000959484926236114
78600,0.941793893129771,0.944449745547074,0.28832643919541173,0.007140193253919382
79100,0.9424399494310999,0.9445480404551203,0.21992574612452628,0.0032667013493538084
79600,0.9423994974874372,0.944582286432161,0.22420856323643756,0.006892466719425077
80100,0.9424719101123595,0.9444756554307118,0.2165419346135456,0.004397005091266077
80600,0.9417617866004963,0.9444323821339953,0.2917256922480909,0.008978530696359845
81100,0.9415043156596794,0.9443434032059188,0.31898522173687005,0.018399103387340764
81600,0.9403676470588236,0.9442708333333335,0.43932909878060716,0.02608238048051465
82100,0.9405602923264311,0.9443514007308162,0.41893293548326255,0.017552371849065513
82600,0.9420581113801453,0.9443553268765135,0.2603525437154005,0.017136694320288668
83100,0.9426714801444044,0.944389290012034,0.1954126174317943,0.01354087456946366
83600,0.9419856459330144,0.9443929425837322,0.26802476484729026,0.013154161468554746
84100,0.9415219976218787,0.9443668252080858,0.3171131581616082,0.01591931768130523
84600,0.9407446808510638,0.9441932624113477,0.3994109482303724,0.034295139670483386
85100,0.941668625146886,0.9443448883666277,0.3015890864775512,0.018241863187688487
85600,0.941320093457944,0.9443487149532712,0.3384895996863282,0.017836726393919346
86100,0.9419163763066202,0.9443234610917539,0.2753586310202209,0.02051045874038327
86600,0.9416743648960739,0.9444428406466514,0.3009813951328487,0.00787124405168423
87100,0.9418484500574053,0.9443312284730196,0.28255026821105045,0.019688093474648463
87600,0.9415068493150685,0.9443921232876714,0.31871697300335067,0.013240903782300159
88100,0.9405561861520999,0.9443388195232691,0.4193676733993662,0.01888439711392303
88600,0.9396162528216705,0.9444130925507902,0.5188823613755634,0.011020799857053176
